stationid,lat,lon,name,state,elevation,distance,rating
390350060,41.49194000000001,-81.67834,"East 14th Street, Gateway District, Cleveland, Cuyahoga County, Ohio, 44115, United States",Ohio,206.14,491,0.9073756432246998
390610006,39.27861,-84.36611,"Grooms Road, Procter & Gamble Sharon Woods Innovation Center, Blue Ash, Sycamore Township, Hamilton County, Ohio, 45242, United States",Ohio,262.59,616,0.918696397941681
390610040,39.12861,-84.50389000000001,"260, William Howard Taft Road, Corryville, Cincinnati, Hamilton County, Ohio, 45219, United States",Ohio,258.85,625,0.9176672384219554
390810017,40.36639,-80.61555000000001,"621, Logan Street, North Street Historic District, Steubenville, Jefferson County, Ohio, 43952, United States",Ohio,220.03,347,0.9193825042881647
390870012,38.50806,-82.65916,"Commerce Drive, Ironton, Lawrence County, Ohio, 45638, United States",Ohio,169.09,463,0.9190394511149228
390950024,41.643890000000006,-83.54611000000001,"Toledo Core Supply, Inc., Tecumseh Street, Middle Grounds, Toledo, Lucas County, Ohio, 43602, United States",Ohio,179.05,631,0.8953687821612349
390990014,41.09583000000001,-80.65833,"Head Start Preschool, Werner Street, Oak Hill, Youngstown, Mahoning County, Ohio, 44503, United States",Ohio,287.28,398,0.9197255574614065
391510020,40.80056,-81.37278,"428, Piedmont Avenue Northeast, Upper Downtown Canton Historic District, Canton, Stark County, Ohio, 44702, United States",Ohio,317.48,426,0.9176672384219554
391530017,41.06333,-81.46889,"East High School, Brittain Road, Brittain, Akron, Summit County, Ohio, 44305, United States",Ohio,314.12,449,0.907032590051458
391550014,41.23167,-80.80111000000001,"580, Laird Avenue Southeast, Iddings Park, Warren, Trumbull County, Ohio, 44484, United States",Ohio,277.07,416,0.9197255574614065
400190297,34.25667,-97.47417,"976, Airport Road, Healdton, Carter County, Oklahoma, 73438, United States",Oklahoma,289.64,555,0.9248713550600343
400270049,35.32,-97.48805,"Southwest 19th Street, Moore, Cleveland County, Oklahoma, 73160, United States",Oklahoma,371.92,664,0.9245283018867925
400310651,34.632780000000004,-98.42861,"Saint Barbara School, Northwest 25th Street, Lawton, Comanche County, Oklahoma, 73507, United States",Oklahoma,358.42,633,0.9245283018867925
400430860,36.15889,-98.93528,"County Road, Seiling, Dewey County, Oklahoma, 73663, United States",Oklahoma,532.95,804,0.9245283018867925
400710604,36.696940000000005,-97.08111,"735, South 3rd Street, Ponca City, Kay County, Oklahoma, 74601, United States",Oklahoma,305.53,796,0.9241852487135506
401210415,34.90583,-95.79389,"Broom Road, Pittsburg County, Oklahoma, United States",Oklahoma,270.49,574,0.9234991423670669
